# Logfile created on 2025-09-02 16:29:52 +0200 by logger.rb/v1.5.3
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : metal3_noqrc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : metal3_res has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : metal3_iprobe has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : metal3_diffprb has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : nwell_drw has 189 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : nwell_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : nbulay_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : nbulay_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : nbulay_block has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : emwind_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : emwind_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427960K) : deepco_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428224K) : deepco_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428224K) : mim_drw has 11 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428224K) : edgeseal_drw has 24 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428224K) : edgeseal_bound has 1 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428224K) : substrate_drw has 109 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428224K) : substrate_text has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428488K) : dfpad_drw has 12 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428488K) : dfpad_pillar has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428488K) : dfpad_sbump has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428488K) : thickgateox_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428488K) : pldb_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428488K) : pwell_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428752K) : pwell_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428752K) : pwell_block has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (428752K) : ic_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429544K) : via3_drw has 22689 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_drw has 70 polygons
